Position - Rx,Position - Tx,Velocity - Rx,Velocity - Tx,Time Initial,Time Final,Time Communication,Distance,Relative Speed,Direction Rx,Direction Tx,Pseudo-angle,Link Lifetime,Time Prediction,A,B,C,Route
11363.7,11125.6,13.0,11.0,8.91718,12.0572,3.0,240.0,2.00119,83,83,2.0,5.82142,-2.6814,4.00477,953.108,-5684.16,2.0
11328.6,11281.2,8.0,6.0,5.69733,13.0361,7.0,50.0,14.1999,83,-96,1.0,14.2343,-6.89553,201.638,1317.94,-59614.8,2.0
11329.1,11191.5,8.0,3.0,5.75546,25.0066,19.0,140.0,5.06,83,83,2.0,22.2008,-2.949660000000001,25.6036,1393.16,-43548.6,2.0
11499.6,11628.9,6.0,7.0,6.601960000000001,25.0381,18.0,130.0,4.95643,-96,-52,6.0,39.0265,-20.59036,24.5662,212.487,-45708.6,1.0
11490.7,11642.7,8.0,5.0,7.76996,13.1021,5.0,170.0,13.5272,-96,74,6.0,6.41827,-1.0861299999999998,182.984,4065.21,-33629.5,2.0
11503.2,11627.2,4.0,5.0,5.9858699999999985,16.0099,10.0,140.0,5.3704,-96,-166,5.0,40.1326,-30.10857,28.8412,-111.793,-41965.7,1.0
7508.23,7543.55,6.0,9.0,7.81884,25.0077,17.0,40.0,7.13815,121,67,5.0,30.5255,-13.336640000000004,50.9531,448.061,-61155.9,2.0
7502.78,7573.98,9.0,8.0,6.29432,23.1512,17.0,110.0,5.61508,139,102,4.0,24.6257,-7.768819999999997,31.5291,1254.66,-50016.9,2.0
7500.54,7554.65,9.0,3.0,5.77365,25.0065,19.0,60.0,10.2532,120,0,5.0,25.2947,-6.06185,105.129,-308.451,-59461.5,1.0
8290.88,8307.38,8.0,4.0,5.71116,25.0027,19.0,20.0,4.57,-76,-77,6.0,50.5475,-31.255959999999998,20.8849,173.639,-62139.1,2.0
11667.8,11650.1,8.0,8.0,5.60661,25.0027,19.0,80.0,5.95621,23,-21,0.0,38.1016,-18.70551,35.4764,114.507,-55865.1,2.0
11667.9,11631.1,8.0,5.0,5.6299199999999985,25.1573,20.0,130.0,7.66052,23,90,0.0,15.9226,3.6047800000000016,58.6836,1871.17,-44671.9,2.0
11670.2,11532.6,3.0,11.0,7.70372,25.0038,17.0,140.0,12.1797,-34,83,2.0,30.1149,-12.81482,148.344,-3061.55,-42336.0,1.0
11670.7,11664.8,4.0,7.0,6.74572,25.0639,18.0,20.0,4.9139599999999986,14,-31,4.0,47.5927,-29.27452000000001,24.147,154.369,-62041.5,1.0
11669.4,11627.2,8.0,5.0,5.98899,25.1805,19.0,40.0,12.9702,23,-166,2.0,18.3637,0.8278099999999959,168.226,206.225,-60517.1,2.0
8280.67,8307.38,10.0,4.0,5.71242,17.187,11.0,90.0,13.3946,106,-77,7.0,23.2252,-11.75062,179.415,-1809.18,-54759.6,1.0
8280.46,8209.57,10.0,6.0,5.68594,12.001,6.0,80.0,15.6091,106,-77,1.0,12.6568,-6.3417400000000015,243.645,1388.32,-56602.2,2.0
8281.66,8265.26,10.0,3.0,5.83615,25.0015,19.0,20.0,6.60001,106,106,2.0,34.8863,-15.720949999999998,43.5601,260.704,-62109.9,2.0
8280.53,8394.23,10.0,4.0,5.69425,20.0294,14.0,170.0,13.1725,106,-61,7.0,31.5755,-17.240350000000007,173.516,-4441.15,-32766.1,1.0
11446.0,11651.9,16.0,10.0,9.0015,12.0172,3.0,220.0,6.64927,-96,-90,5.0,4.29758,-1.2818799999999992,44.2128,2839.95,-13021.5,2.0
11453.7,11619.4,14.0,10.0,8.46873,14.0299,6.0,170.0,16.4188,-96,-179,5.0,6.54197,-0.9808000000000012,269.576,3154.84,-32176.0,2.0
11613.6,11636.2,5.0,7.0,6.54782,25.1584,19.0,20.0,3.46261,141,114,6.0,65.7266,-47.116020000000006,11.9897,154.869,-61974.3,2.0
11638.9,11650.3,6.0,8.0,5.5208,25.0032,19.0,110.0,4.77182,-60,-21,8.0,68.0445,-48.5621,22.7703,-817.193,-49822.1,1.0
11624.5,11651.7,11.0,10.0,9.01465,25.1758,16.0,30.0,12.6432,-166,-90,5.0,19.6606,-3.4994499999999995,159.85,-10.3799,-61584.2,2.0
11636.9,11627.2,6.0,5.0,5.98658,25.343000000000004,19.0,20.0,8.464369999999999,-60,-166,0.0,27.8935,-8.53708,71.6456,228.394,-62114.6,1.0
7546.83,7534.6,9.0,8.0,6.74817,22.0175,15.0,100.0,11.1166,126,46,8.0,31.761,-16.491670000000006,123.578,-2295.74,-51745.7,1.0
7553.61,7583.97,12.0,11.0,7.572489999999997,25.2133,18.0,30.0,1.24025,105,102,6.0,100.0,-82.35919,1.53822,-75.1379,-61319.9,1.0
7541.5,7554.64,9.0,3.0,5.7727,22.0098,16.0,90.0,9.87126,107,0,7.0,33.2799,-17.0428,97.4418,-1635.63,-53488.1,1.0
11021.6,10895.6,8.0,9.0,5.79323,25.0651,19.0,130.0,1.00974,86,84,2.0,100.0,-80.72813000000002,1.01958,-242.866,-46411.9,1.0
11022.1,10836.0,8.0,6.0,5.8503,7.51889,2.0,190.0,13.6335,86,-97,2.0,4.52727,-2.85868,185.871,5002.02,-26455.2,2.0
11021.8,10985.7,8.0,3.0,5.81644,14.0937,8.0,50.0,11.0438,86,-100,1.0,19.3054,-11.028139999999999,121.964,757.416,-60078.2,2.0
10812.8,11050.4,12.0,12.0,7.69108,23.087,15.0,240.0,24.1186,84,-96,6.0,20.1543,-4.758379999999999,581.706,-11563.6,-3230.75,1.0
10823.4,10927.4,13.0,14.0,8.52036,25.0695,17.0,100.0,1.44574,84,88,6.0,100.0,-83.45085999999998,2.09016,215.581,-51633.0,2.0
10813.5,10819.5,12.0,10.0,7.74626,16.1431,8.0,60.0,21.7283,84,-97,8.0,11.5959,-3.19906,472.12,-373.926,-59147.5,1.0
10794.8,10772.7,8.0,7.0,5.98048,14.0016,8.0,60.0,14.5588,84,-97,0.0,15.3361,-7.31498,211.958,567.337,-58552.8,2.0
10814.0,10729.8,12.0,9.0,7.7918699999999985,13.0279,5.0,100.0,20.5078,84,-97,1.0,7.860060000000002,-2.6240299999999994,420.57,3351.88,-52329.0,2.0
10815.8,10975.4,12.0,6.0,7.94688,22.0126,14.0,170.0,17.6214,84,-110,6.0,22.6507,-8.584980000000002,310.513,-5553.99,-33507.7,1.0
8352.65,8446.88,14.0,11.0,8.68797,25.0043,16.0,110.0,3.72577,-77,-83,6.0,37.7053,-21.38897,13.8814,805.916,-50122.3,2.0
8382.8,8307.38,8.0,4.0,5.71044,25.208,19.0,80.0,3.94787,-79,-77,2.0,84.7875,-65.28994,15.5857,-669.3330000000002,-55293.2,1.0
8383.07,8553.41,8.0,5.0,5.67031,8.47219,3.0,180.0,13.1408,-79,90,6.0,5.5887,-2.7868200000000005,172.68099999999995,4618.03,-31202.2,2.0
8373.76,8202.17,10.0,8.0,6.8090699999999975,25.175,18.0,200.0,1.57256,-80,-77,2.0,100.0,-81.63407000000002,2.47293,-590.717,-24459.6,1.0
8384.2,8394.71,8.0,4.0,5.50704,25.1966,20.0,10.0,4.4383,-79,-61,6.0,53.7187,-34.029140000000005,19.6985,102.529,-62351.9,2.0
9696.14,9610.44,7.0,6.0,5.55435,25.0026,19.0,90.0,0.680554,-95,-95,2.0,100.0,-80.55175,0.463153,-116.753,-55130.5,1.0
11620.5,11650.2,8.0,8.0,5.55472,25.016,19.0,70.0,15.0416,179,-21,7.0,21.0628,-1.6015200000000007,226.25,-2055.43,-57081.2,1.0
11617.7,11622.9,12.0,9.0,7.4638300000000015,21.0628,14.0,30.0,17.1468,179,-76,8.0,16.2014,-2.60243,294.013,-956.496,-61677.2,1.0
11620.3,11627.6,8.0,5.0,5.73692,25.3437,20.0,30.0,3.1025,179,-166,4.0,71.1294,-51.52262,9.62549,179.387,-61458.9,1.0
7588.34,7571.64,8.0,6.0,5.93636,19.0991,13.0,70.0,12.7863,-41,102,8.0,15.8699,-2.70716,163.489,1067.47,-58115.8,2.0
7588.77,7554.65,8.0,3.0,5.77418,25.1719,19.0,140.0,5.86351,-41,0,8.0,23.643,-4.245280000000001,34.3807,997.382,-42799.7,2.0
8354.09,8446.93,13.0,11.0,8.683010000000001,22.0115,13.0,150.0,24.1349,106,-83,7.0,15.7365,-2.4080099999999973,582.496,-6620.23,-40068.3,1.0
8326.92,8464.7,8.0,5.0,5.7042800000000025,25.114,19.0,160.0,2.69798,106,116,6.0,100.0,-80.59028,7.27908,-831.245,-35456.9,1.0
8335.09,8202.15,9.0,8.0,6.8121399999999985,11.1359,4.0,130.0,17.3912,105,-77,2.0,7.0732399999999975,-2.749480000000001,302.455,4177.09,-44677.6,2.0
8354.38,8376.36,13.0,9.0,8.709,18.0635,9.0,70.0,22.3981,106,-80,7.0,13.351,-3.9964999999999993,501.677,-2419.62,-57119.3,1.0
9675.16,9593.51,14.0,10.0,7.54997,12.002,4.0,90.0,23.9396,83,-95,2.0,7.0194300000000025,-2.5673999999999992,573.1030000000002,3848.83,-55254.7,2.0
10623.5,10772.7,7.0,7.0,5.98231,19.2888,13.0,160.0,13.7497,83,-97,6.0,28.6281,-15.321610000000002,189.055,-4169.48,-35578.7,1.0
10659.9,10602.9,15.0,11.0,9.16653,25.0187,16.0,60.0,4.03001,83,83,2.0,47.8728,-32.02063,16.241,460.004,-59242.7,2.0
11070.9,11097.7,9.0,5.0,5.7755800000000015,14.1127,8.0,40.0,13.8499,-96,83,5.0,16.0815,-7.744379999999998,191.82,706.73,-60972.9,2.0
11071.6,11281.2,9.0,6.0,5.69562,25.2048,20.0,210.0,2.76194,-96,-96,6.0,14.5823,4.9268800000000015,7.62833,1157.64,-18503.1,2.0
11061.3,10982.0,10.0,4.0,6.75473,25.2959,19.0,80.0,5.71632,-96,-104,2.0,57.2209,-38.67973,32.6763,-887.992,-56177.9,1.0
11029.2,11059.1,16.0,12.0,9.22162,25.2192,16.0,30.0,3.43706,-99,-96,6.0,64.2271,-48.22952,11.8134,200.458,-61606.5,2.0
11070.6,10985.7,9.0,3.0,5.81366,25.29,19.0,80.0,5.31669,-96,-100,2.0,62.8721,-43.39576,28.2671,-897.633,-55301.2,1.0
11071.1,11191.5,9.0,3.0,5.756,11.0755,5.0,120.0,11.9,-96,83,6.0,10.8495,-5.530000000000001,141.609,2838.16,-47461.7,2.0
11035.1,10876.5,14.0,10.0,8.82388,25.0286,16.0,160.0,4.06177,-99,-98,2.0,100.0,-83.79527999999998,16.498,-1289.98,-37283.9,1.0
8456.64,8296.3,13.0,7.0,7.756660000000001,25.2092,17.0,190.0,5.19034,-82,-76,2.0,82.0893,-64.63676,26.9397,-1869.29,-28088.6,1.0
8475.11,8553.28,8.0,5.0,5.92516,13.034,7.0,80.0,13.2195,-77,104,6.0,13.645,-6.536159999999999,174.75400000000005,1746.72,-56370.5,2.0
8443.03,8283.44,11.0,11.0,9.07769,24.0222,15.0,230.0,22.1679,-71,106,3.0,21.1805,-6.2359899999999975,491.414,-9924.24,-10255.3,1.0
8476.82,8394.28,8.0,4.0,5.6773,25.3383,20.0,100.0,4.5121400000000005,-77,-61,2.0,75.8883,-56.2273,20.3594,-846.262,-53029.0,1.0
11648.8,11628.1,3.0,7.0,6.777989999999999,25.2784,19.0,20.0,4.49884,-22,-52,2.0,50.274,-31.77359,20.2396,214.344,-61930.8,2.0
11649.8,11515.2,8.0,6.0,5.80584,25.1365,19.0,140.0,10.9185,-21,83,2.0,34.4196,-15.08894,119.213,-2889.22,-41786.8,1.0
11643.0,11651.7,5.0,10.0,9.01517,25.1763,16.0,100.0,4.70085,-76,-90,4.0,53.1625,-37.00137,22.09800000000001,-198.734,-51889.3,2.0
