Position - Rx,Position - Tx,Velocity - Rx,Velocity - Tx,Time Initial,Time Final,Time Communication,Distance,Relative Speed,Direction Rx,Direction Tx,Pseudo-angle,Link Lifetime,Time Prediction,A,B,C,Route
3140.0,3047.12,11.0,9.0,12.1851,30.0507,18.0,90.0,19.95,-28,151,0.6,9.4307,8.4349,398.00199999999995,1958.76,-53870.0,1.0
2659.67,2752.66,9.0,9.0,12.3598,30.0435,18.0,230.0,0.482282,-28,-28,3.5,100.0,-82.3163,0.232596,-223.885,-8112.28,2.0
3978.78,3834.71,13.0,11.0,11.9951,30.006999999999998,18.0,140.0,3.28966,-132,-120,0.5,100.0,-81.9881,10.8218,-865.8989999999999,-41717.1,1.0
3989.78,3974.95,13.0,11.0,11.0951,30.0049,19.0,90.0,3.2314,-132,-118,6.9,96.9374,-78.0276,10.4419,-445.966,-54890.6,2.0
3996.65,3979.85,13.0,12.0,10.5016,30.002,20.0,130.0,17.9518,-118,151,2.4,20.9599,-1.459500000000002,322.265,-4561.72,-45963.6,1.0
3775.36,3842.07,1.0,11.0,11.2008,30.0103,19.0,130.0,11.2095,62,-120,6.0,31.7177,-12.9082,125.65299999999999,-2546.18,-45650.1,1.0
3075.83,3019.3,0.0,8.0,14.5349,30.0954,16.0,150.0,8.41,0,61,7.3,22.2181,-6.657599999999999,70.7281,293.948,-41445.5,2.0
3118.17,3101.55,8.0,0.0,12.1715,30.0004,18.0,20.0,7.560010000000001,-118,-116,0.5,34.847,-17.018100000000004,57.1538,-206.054,-62222.3,1.0
3607.54,3458.2,5.0,3.0,10.2226,30.0344,20.0,160.0,2.60007,-28,-28,1.5,75.0612,-55.2494,6.760389999999999,-8.14851,-37477.7,1.0
3703.93,3645.11,8.0,6.0,13.2915,30.029,17.0,130.0,7.38284,152,88,7.5,44.842,-28.1045,54.5064,-1445.15,-44798.1,1.0
4060.7,3976.15,4.0,11.0,10.974,30.0075,19.0,100.0,14.71,61,-118,0.0,12.6927,6.3408,216.38299999999998,1417.42,-52850.8,2.0
3124.53,3293.82,11.0,10.0,10.0836,30.0576,20.0,180.0,2.46628,62,74,5.5,100.0,-80.02600000000002,6.08252,-447.615,-31765.5,1.0
3606.82,3401.15,0.0,13.0,27.5385,30.0601,3.0,250.0,13.1,-28,-28,0.2,29.2423,-26.7207,171.61,-4964.31,-1578.14,2.0
3559.64,3458.66,13.0,3.0,10.7883,30.0389,19.0,230.0,10.4601,-28,-28,2.3,34.7548,-15.5042,109.413,-3558.58,-8481.34,1.0
2359.24,2320.91,6.0,11.0,11.1211,30.0256,19.0,80.0,5.07949,171,151,7.5,34.6117,-15.7072,25.8012,727.696,-56095.8,2.0
2354.71,2541.96,9.0,4.0,12.1414,25.096,13.0,190.0,10.7268,151,-103,5.1,18.4135,-5.4589,115.065,-749.573,-25211.4,1.0
3273.23,3233.44,11.0,0.0,13.8792,24.1217,10.0,150.0,11.15,152,0,2.5,9.816089999999999,0.4264099999999989,124.323,2784.63,-39313.4,1.0
