Position - Rx,Position - Tx,Velocity - Rx,Velocity - Tx,Time Initial,Time Final,Time Communication,Distance,Relative Speed,Direction Rx,Direction Tx,Pseudo-angle,Link Lifetime,Time Prediction,A,B,C
11363.7,11125.6,12.9,10.9,8.91718,12.0572,3.14002,238.361,2.00119, 83, 83,1.89328,5.82142,-2.6814,4.00477,953.108,-5684.16
11328.6,11281.2,8.22,5.98,5.69733,13.0361,7.338769999999999,53.7145,14.1999, 83, -96,1.25118,14.2343,-6.89553,201.638,1317.94,-59614.8
11329.1,11191.5,8.22,3.16,5.75546,25.0066,19.25114,137.664,5.06, 83, 83,1.88735,22.2008,-2.9496600000000015,25.6036,1393.16,-43548.6
11499.6,11628.9,5.93,7.0,6.60196,25.0381,18.43614,129.582,4.95643, -96, -52,5.90891,39.0265,-20.590359999999997,24.5662,212.487,-45708.6
11490.7,11642.7,8.47,5.1,7.76996,13.1021,5.33214,169.913,13.5272, -96, 74,6.32744,6.41827,-1.0861299999999998,182.984,4065.21,-33629.5
11503.2,11627.2,4.23,5.0,5.98587,16.0099,10.024029999999998,143.298,5.3704, -96, -166,5.19426,40.1326,-30.10857,28.8412,-111.793,-41965.7
7508.23,7543.55,6.01,8.66,7.81884,25.0077,17.18886,36.6625,7.13815, 121, 67,5.29873,30.5255,-13.336640000000003,50.9531,448.061,-61155.9
7502.78,7573.98,9.32,8.22,6.29432,23.1512,16.85688,111.728,5.61508, 139, 102,4.35801,24.6257,-7.768819999999998,31.5291,1254.66,-50016.9
7500.54,7554.65,8.62,2.7,5.77365,25.0065,19.23285,55.1227,10.2532, 120, 0,5.40715,25.2947,-6.06185,105.129,-308.451,-59461.5
8290.88,8307.38,8.35,3.78,5.71116,25.0027,19.29154,18.9977,4.57, -76, -77,6.23226,50.5475,-31.255959999999998,20.8849,173.639,-62139.1
8290.2,8465.07,8.35,5.06,5.80438,9.1082,3.30382,181.307,13.3234, -76, 116,5.9797,5.37359,-2.06977,177.513,4559.73,-29627.9
11667.8,11650.1,8.02,7.56,5.60661,25.0027,19.39609,81.4546,5.95621, 23, -21,0.0674722,38.1016,-18.705509999999997,35.4764,114.507,-55865.1
11667.9,11631.1,8.02,5.37,5.62992,25.1573,19.52738,133.522,7.66052, 23, 90,0.130943,15.9226,3.6047800000000016,58.6836,1871.17,-44671.9
11670.2,11532.6,2.74,10.67,7.70372,25.0038,17.300079999999998,142.0,12.1797, -34, 83,1.57421,30.1149,-12.814820000000001,148.344,-3061.55,-42336.0
11670.7,11664.8,3.95,6.69,6.74572,25.0639,18.318179999999998,21.4138,4.91396, 14, -31,3.53711,47.5927,-29.274520000000003,24.147,154.369,-62041.5
11669.4,11627.2,8.02,5.0,5.98899,25.1805,19.191509999999997,44.5294,12.9702, 23, -166,2.16472,18.3637,0.8278099999999959,168.226,206.225,-60517.1
8280.67,8307.38,9.62,3.78,5.71242,17.187,11.474580000000001,87.9796,13.3946, 106, -77,7.31181,23.2252,-11.75062,179.415,-1809.18,-54759.6
8280.46,8209.57,9.62,6.0,5.68594,12.001,6.315059999999999,76.7972,15.6091, 106, -77,1.17043,12.6568,-6.3417400000000015,243.645,1388.32,-56602.2
8281.66,8265.26,9.62,3.02,5.83615,25.0015,19.16535,19.7503,6.60001, 106, 106,2.29919,34.8863,-15.720949999999998,43.5601,260.704,-62109.9
8280.53,8394.23,9.62,3.61,5.69425,20.0294,14.335149999999999,172.435,13.1725, 106, -61,6.62573,31.5755,-17.240350000000003,173.516,-4441.15,-32766.1
11464.9,11531.9,12.54,10.67,7.64465,14.045,6.4003499999999995,72.0966,23.2096, -96, 83,5.41473,7.85697,-1.45662,538.686,3060.71,-57302.1
11446.0,11651.9,16.31,9.79,9.0015,12.0172,3.0157000000000007,222.438,6.64927, -96, -90,5.39668,4.29758,-1.2818799999999992,44.2128,2839.95,-13021.5
11453.7,11619.4,14.44,9.71,8.46873,14.0299,5.561169999999999,174.138,16.4188, -96, -179,5.49663,6.54197,-0.9808000000000012,269.576,3154.84,-32176.0
11623.6,11610.3,6.33,11.86,8.66815,25.2375,16.56935,74.1447,18.1751, 90, -94,3.6611,12.0765,4.492850000000001,330.335,730.836,-57002.6
11613.6,11636.2,4.58,6.89,6.54782,25.1584,18.61058,22.9279,3.46261, 141, 114,6.02422,65.7266,-47.116020000000006,11.9897,154.869,-61974.3
11617.1,11661.6,4.92,5.7,7.52367,25.1751,17.65143,164.18,10.5088, 96, -67,4.12457,15.9006,1.7508300000000006,110.434,479.467,-35544.9
11638.9,11650.3,5.56,7.56,5.5208,25.0032,19.4824,112.596,4.77182, -60, -21,7.74101,68.0445,-48.5621,22.7703,-817.193,-49822.1
11624.5,11651.7,10.58,9.79,9.01465,25.1758,16.16115,30.2621,12.6432, -166, -90,5.30167,19.6606,-3.4994499999999995,159.85,-10.3799,-61584.2
11636.9,11627.2,5.56,5.0,5.98658,25.343,19.35642,19.6326,8.46437, -60, -166,0.380373,27.8935,-8.53708,71.6456,228.394,-62114.6
7546.83,7534.6,9.24,8.09,6.74817,22.0175,15.269329999999998,103.703,11.1166, 126, 46,7.766,31.761,-16.49167,123.578,-2295.74,-51745.7
7553.61,7583.97,11.79,10.64,7.57249,25.2133,17.640810000000002,34.3529,1.24025, 105, 102,6.13462,100.0,-82.35919,1.53822,-75.1379,-61319.9
7541.5,7554.64,8.71,2.7,5.7727,22.0098,16.237099999999998,94.9308,9.87126, 107, 0,7.46859,33.2799,-17.0428,97.4418,-1635.63,-53488.1
