Position - Rx,Position - Tx,Velocity - Rx,Velocity - Tx,Time Initial,Time Final,Time Communication,Distance,Relative Speed,Direction Rx,Direction Tx,Pseudo-angle,Link Lifetime,Time Prediction,A,B,C
3140.0,3047.12,10.77,9.18,12.1851,30.0507,17.8656,92.8976,19.95, -28, 151,0.571496,9.4307,8.4349,398.002,1958.76,-53870.0
2659.67,2752.66,9.42,8.94,12.3598,30.0435,17.6837,233.212,0.482282, -28, -28,3.45948,100.0,-82.3163,0.232596,-223.885,-8112.28
3978.78,3834.71,12.78,10.62,11.9951,30.007,18.0119,144.163,3.28966, -132, -120,0.549219,100.0,-81.9881,10.8218,-865.899,-41717.1
3989.78,3974.95,12.78,11.45,11.0951,30.0049,18.909799999999997,87.2318,3.2314, -132, -118,6.87561,96.9374,-78.0276,10.4419,-445.966,-54890.6
3996.65,3979.85,13.34,12.0,10.5016,30.002,19.5004,128.594,17.9518, -118, 151,2.41285,20.9599,-1.459500000000002,322.265,-4561.72,-45963.6
3775.36,3842.07,0.59,10.62,11.2008,30.0103,18.8095,129.807,11.2095, 62, -120,5.98482,31.7177,-12.9082,125.653,-2546.18,-45650.1
3774.23,3978.98,3.4,12.0,10.6366,30.0043,19.3677,205.034,12.4336, 62, 151,4.49031,30.1335,-10.765800000000002,154.594,-3979.45,-20461.2
3075.83,3019.3,0.0,8.41,14.5349,30.0954,15.560500000000001,145.102,8.41, 0, 61,7.2941,22.2181,-6.657599999999999,70.7281,293.948,-41445.5
2989.48,3152.65,0.0,11.11,13.447,23.5322,10.0852,227.659,11.11, 0, 63,3.52724,8.83415,1.251050000000001,123.432,117.529,-10671.2
3119.07,3211.51,7.61,11.65,12.0197,27.0364,15.0167,242.537,19.26, -118, 61,2.9302,9.20372,5.81298,370.947,-3014.73,-3675.6
3118.17,3101.55,7.61,0.05,12.1715,30.0004,17.828899999999997,16.6641,7.56001, -118, -116,0.502184,34.847,-17.018100000000004,57.1538,-206.054,-62222.3
3109.85,3173.34,0.01,10.43,16.1021,30.1371,14.035,259.759,10.44, -118, 63,2.68142,22.1503,-8.115300000000001,108.994,-2638.83,4974.92
3607.54,3458.2,5.16,2.56,10.2226,30.0344,19.8118,158.185,2.60007, -28, -28,1.47987,75.0612,-55.249399999999994,6.76039,-8.14851,-37477.7
3703.93,3645.11,7.82,5.72,13.2915,30.029,16.7375,133.048,7.38284, 152, 88,7.50365,44.842,-28.104499999999998,54.5064,-1445.15,-44798.1
4060.7,3976.15,3.56,11.15,10.974,30.0075,19.0335,98.2305,14.71, 61, -118,0.019082,12.6927,6.3408,216.383,1417.42,-52850.8
4060.92,3956.26,0.0,13.25,13.9014,30.0054,16.104,162.357,13.25, 0, 151,1.82938,18.8659,-2.7619000000000007,175.562,-1396.49,-36140.3
3124.53,3293.82,10.87,9.83,10.0836,30.0576,19.974,175.313,2.46628, 62, 74,5.46636,100.0,-80.026,6.08252,-447.615,-31765.5
3135.68,3029.15,0.01,10.93,15.6685,30.0971,14.428600000000001,255.805,10.92, 61, 61,2.1905,35.6882,-21.2596,119.246,-4337.97,2936.43
3606.82,3401.15,0.16,13.26,27.5385,30.0601,2.5215999999999994,246.824,13.1, -28, -28,0.199072,29.2423,-26.7207,171.61,-4964.31,-1578.14
3559.64,3458.66,13.02,2.56,10.7883,30.0389,19.250600000000002,232.419,10.4601, -28, -28,2.34019,34.7548,-15.5042,109.413,-3558.58,-8481.34
2359.24,2320.91,6.44,10.66,11.1211,30.0256,18.9045,80.026,5.07949, 171, 151,7.48306,34.6117,-15.7072,25.8012,727.696,-56095.8
2354.71,2541.96,8.67,4.48,12.1414,25.096,12.9546,193.103,10.7268, 151, -103,5.09967,18.4135,-5.4589,115.065,-749.573,-25211.4
3271.1,3338.35,10.34,9.67,14.5555,30.0607,15.5052,218.046,14.1875, 151, 60,6.52349,12.9641,2.5411,201.284,-1455.83,-14955.9
3273.23,3233.44,11.15,0.0,13.8792,24.1217,10.2425,152.271,11.15, 152, 0,2.51462,9.81609,0.42640999999999885,124.323,2784.63,-39313.4
3692.29,3945.58,0.01,11.52,15.5494,30.0098,14.460399999999998,254.076,11.5208, -113, 151,4.67936,19.3098,-4.849400000000001,132.729,-2669.38,2054.55
2305.2,2316.4,7.19,10.1,12.0776,30.0262,17.9486,222.086,17.2899, -28, 151,2.86223,25.74,-7.791399999999999,298.942,-7182.8,-13177.8
2366.66,2324.25,6.02,9.78,10.3672,27.0885,16.7213,91.2323,3.76054, 151, 151,7.45593,42.2212,-25.499900000000004,14.1417,686.086,-54176.7
2363.63,2541.91,0.5,4.48,12.157,30.1695,18.0125,189.521,4.62911, 151, -103,5.25995,86.2164,-68.20389999999999,21.4287,-1539.19,-26581.9
